"yrs","N.pred"
2013,424764869.219638
2014,434669269.380709
2015,435035531.438177
2016,436455078.090013
2017,438197316.603541
2018,440209544.722077
2019,442441258.084195
2020,444847377.915502
2021,447389628.589936
2022,450038217.218981
2023,452772997.343822
2024,455582634.579269
2025,458462923.865127
2026,461414010.930316
2027,464437637.002421
2028,467534307.517017
2029,470681320.487684
2030,473892038.068026
2031,476992031.385664
2032,479995541.044426
2033,482904083.977985
2034,485700369.344387
2035,488400878.780865
2036,490852196.65617
2037,493071377.196996
2038,495063638.066145
2039,496828115.674569
2040,498371303.81915
2041,499650409.534284
2042,500671342.444697
2043,501436294.276683
2044,501953304.07272
2045,502219216.966095
2046,502286669.58466
2047,502148043.616937
2048,501800309.823085
2049,501251729.074184
2050,500490328.18081
2051,499602799.55447
2052,498571093.05012
2053,497385164.403659
2054,496046029.020908
2055,494536227.202392
2056,492938764.512358
2057,491232152.936781
2058,489402225.78221
2059,487443987.035572
2060,485339618.042563
2061,483139821.194973
2062,480827475.457631
2063,478390693.898056
2064,475821263.825899
2065,473107551.378404
2066,470264195.748905
2067,467287140.475953
2068,464175523.830784
2069,460930857.236873
2070,457556504.087412
2071,454055408.979306
2072,450436773.632317
2073,446707218.833601
2074,442870716.16438
2075,438931584.981708
2076,434893311.265565
2077,430765697.520298
2078,426559335.637418
2079,422286150.731165
2080,417960017.85155
2081,413594925.741079
2082,409207735.460699
2083,404814290.368375
2084,400429498.580682
2085,396067154.603831
2086,391740232.117505
2087,387460539.980851
2088,383238949.645139
2089,379085629.338555
2090,375009532.899507
2091,371017972.722807
2092,367114662.072953
2093,363301746.548012
2094,359579893.204858
2095,355947555.00325
2096,352402080.091857
2097,348936995.136934
2098,345545230.942558
2099,342218956.936032
2100,338949789.342036
